Name	Type 1	Type 2	HP	Total	Total	Total	Total	Attack	Defense	Sp. Atk	Sp. Def	Speed	Generation	Legendary
Armaldo	Rock	Bug	75	495	495	495	495	125	100	70	80	45	3	False
Feebas	Water		20	200	200	200	200	15	20	10	55	80	3	False
Milotic	Water		95	540	540	540	540	60	79	100	125	81	3	False
Castform	Normal		70	420	420	420	420	70	70	70	70	70	3	False
Kecleon	Normal		60	440	440	440	440	90	70	60	120	40	3	False
Shuppet	Ghost		44	295	295	295	295	75	35	63	33	45	3	False
Banette	Ghost		64	455	455	455	455	115	65	83	63	65	3	False
BanetteMega Banette	Ghost		64	555	555	555	555	165	75	93	83	75	3	False
Duskull	Ghost		20	295	295	295	295	40	90	30	90	25	3	False
Dusclops	Ghost		40	455	455	455	455	70	130	60	130	25	3	False
Tropius	Grass	Flying	99	460	460	460	460	68	83	72	87	51	3	False
Chimecho	Psychic		65	425	425	425	425	50	70	95	80	65	3	False
Absol	Dark		65	465	465	465	465	130	60	75	60	75	3	False
AbsolMega Absol	Dark		65	565	565	565	565	150	60	115	60	115	3	False
Wynaut	Psychic		95	260	260	260	260	23	48	23	48	23	3	False
Snorunt	Ice		50	300	300	300	300	50	50	50	50	50	3	False
Glalie	Ice		80	480	480	480	480	80	80	80	80	80	3	False
GlalieMega Glalie	Ice		80	580	580	580	580	120	80	120	80	100	3	False
Spheal	Ice	Water	70	290	290	290	290	40	50	55	50	25	3	False
Sealeo	Ice	Water	90	410	410	410	410	60	70	75	70	45	3	False
Walrein	Ice	Water	110	530	530	530	530	80	90	95	90	65	3	False
Clamperl	Water		35	345	345	345	345	64	85	74	55	32	3	False
Huntail	Water		55	485	485	485	485	104	105	94	75	52	3	False
Gorebyss	Water		55	485	485	485	485	84	105	114	75	52	3	False
Relicanth	Water	Rock	100	485	485	485	485	90	130	45	65	55	3	False
Luvdisc	Water		43	330	330	330	330	30	55	40	65	97	3	False
Bagon	Dragon		45	300	300	300	300	75	60	40	30	50	3	False
Shelgon	Dragon		65	420	420	420	420	95	100	60	50	50	3	False
Salamence	Dragon	Flying	95	600	600	600	600	135	80	110	80	100	3	False
SalamenceMega Salamence	Dragon	Flying	95	700	700	700	700	145	130	120	90	120	3	False
Beldum	Steel	Psychic	40	300	300	300	300	55	80	35	60	30	3	False
Metang	Steel	Psychic	60	420	420	420	420	75	100	55	80	50	3	False
Metagross	Steel	Psychic	80	600	600	600	600	135	130	95	90	70	3	False
MetagrossMega Metagross	Steel	Psychic	80	700	700	700	700	145	150	105	110	110	3	False
Regirock	Rock		80	580	580	580	580	100	200	50	100	50	3	True
Regice	Ice		80	580	580	580	580	50	100	100	200	50	3	True
Registeel	Steel		80	580	580	580	580	75	150	75	150	50	3	True
Latias	Dragon	Psychic	80	600	600	600	600	80	90	110	130	110	3	True
LatiasMega Latias	Dragon	Psychic	80	700	700	700	700	100	120	140	150	110	3	True
Latios	Dragon	Psychic	80	600	600	600	600	90	80	130	110	110	3	True
LatiosMega Latios	Dragon	Psychic	80	700	700	700	700	130	100	160	120	110	3	True
Kyogre	Water		100	670	670	670	670	100	90	150	140	90	3	True
KyogrePrimal Kyogre	Water		100	770	770	770	770	150	90	180	160	90	3	True
Groudon	Ground		100	670	670	670	670	150	140	100	90	90	3	True
GroudonPrimal Groudon	Ground	Fire	100	770	770	770	770	180	160	150	90	90	3	True
Rayquaza	Dragon	Flying	105	680	680	680	680	150	90	150	90	95	3	True
RayquazaMega Rayquaza	Dragon	Flying	105	780	780	780	780	180	100	180	100	115	3	True
Jirachi	Steel	Psychic	100	600	600	600	600	100	100	100	100	100	3	True
DeoxysNormal Forme	Psychic		50	600	600	600	600	150	50	150	50	150	3	True
DeoxysAttack Forme	Psychic		50	600	600	600	600	180	20	180	20	150	3	True
DeoxysDefense Forme	Psychic		50	600	600	600	600	70	160	70	160	90	3	True
DeoxysSpeed Forme	Psychic		50	600	600	600	600	95	90	95	90	180	3	True
Turtwig	Grass		55	318	318	318	318	68	64	45	55	31	4	False
Grotle	Grass		75	405	405	405	405	89	85	55	65	36	4	False
Torterra	Grass	Ground	95	525	525	525	525	109	105	75	85	56	4	False
Chimchar	Fire		44	309	309	309	309	58	44	58	44	61	4	False
Monferno	Fire	Fighting	64	405	405	405	405	78	52	78	52	81	4	False
Infernape	Fire	Fighting	76	534	534	534	534	104	71	104	71	108	4	False
Piplup	Water		53	314	314	314	314	51	53	61	56	40	4	False
Prinplup	Water		64	405	405	405	405	66	68	81	76	50	4	False
Empoleon	Water	Steel	84	530	530	530	530	86	88	111	101	60	4	False
Starly	Normal	Flying	40	245	245	245	245	55	30	30	30	60	4	False
Staravia	Normal	Flying	55	340	340	340	340	75	50	40	40	80	4	False
Staraptor	Normal	Flying	85	485	485	485	485	120	70	50	60	100	4	False
Bidoof	Normal		59	250	250	250	250	45	40	35	40	31	4	False
Bibarel	Normal	Water	79	410	410	410	410	85	60	55	60	71	4	False
Kricketot	Bug		37	194	194	194	194	25	41	25	41	25	4	False
Kricketune	Bug		77	384	384	384	384	85	51	55	51	65	4	False
Shinx	Electric		45	263	263	263	263	65	34	40	34	45	4	False
Luxio	Electric		60	363	363	363	363	85	49	60	49	60	4	False
Luxray	Electric		80	523	523	523	523	120	79	95	79	70	4	False
Budew	Grass	Poison	40	280	280	280	280	30	35	50	70	55	4	False
Roserade	Grass	Poison	60	515	515	515	515	70	65	125	105	90	4	False
Cranidos	Rock		67	350	350	350	350	125	40	30	30	58	4	False
Rampardos	Rock		97	495	495	495	495	165	60	65	50	58	4	False
Shieldon	Rock	Steel	30	350	350	350	350	42	118	42	88	30	4	False
Bastiodon	Rock	Steel	60	495	495	495	495	52	168	47	138	30	4	False
Burmy	Bug		40	224	224	224	224	29	45	29	45	36	4	False
WormadamPlant Cloak	Bug	Grass	60	424	424	424	424	59	85	79	105	36	4	False
WormadamSandy Cloak	Bug	Ground	60	424	424	424	424	79	105	59	85	36	4	False
WormadamTrash Cloak	Bug	Steel	60	424	424	424	424	69	95	69	95	36	4	False
Mothim	Bug	Flying	70	424	424	424	424	94	50	94	50	66	4	False
Combee	Bug	Flying	30	244	244	244	244	30	42	30	42	70	4	False
Vespiquen	Bug	Flying	70	474	474	474	474	80	102	80	102	40	4	False
Pachirisu	Electric		60	405	405	405	405	45	70	45	90	95	4	False
Buizel	Water		55	330	330	330	330	65	35	60	30	85	4	False
Floatzel	Water		85	495	495	495	495	105	55	85	50	115	4	False
Cherubi	Grass		45	275	275	275	275	35	45	62	53	35	4	False
Cherrim	Grass		70	450	450	450	450	60	70	87	78	85	4	False
Shellos	Water		76	325	325	325	325	48	48	57	62	34	4	False
Gastrodon	Water	Ground	111	475	475	475	475	83	68	92	82	39	4	False
Ambipom	Normal		75	482	482	482	482	100	66	60	66	115	4	False
Drifloon	Ghost	Flying	90	348	348	348	348	50	34	60	44	70	4	False
Drifblim	Ghost	Flying	150	498	498	498	498	80	44	90	54	80	4	False
Buneary	Normal		55	350	350	350	350	66	44	44	56	85	4	False
Lopunny	Normal		65	480	480	480	480	76	84	54	96	105	4	False
LopunnyMega Lopunny	Normal	Fighting	65	580	580	580	580	136	94	54	96	135	4	False
Mismagius	Ghost		60	495	495	495	495	60	60	105	105	105	4	False
Honchkrow	Dark	Flying	100	505	505	505	505	125	52	105	52	71	4	False
Glameow	Normal		49	310	310	310	310	55	42	42	37	85	4	False
Purugly	Normal		71	452	452	452	452	82	64	64	59	112	4	False
Chingling	Psychic		45	285	285	285	285	30	50	65	50	45	4	False
Stunky	Poison	Dark	63	329	329	329	329	63	47	41	41	74	4	False
Skuntank	Poison	Dark	103	479	479	479	479	93	67	71	61	84	4	False
Bronzor	Steel	Psychic	57	300	300	300	300	24	86	24	86	23	4	False
Bronzong	Steel	Psychic	67	500	500	500	500	89	116	79	116	33	4	False
Bonsly	Rock		50	290	290	290	290	80	95	10	45	10	4	False
Mime Jr.	Psychic	Fairy	20	310	310	310	310	25	45	70	90	60	4	False
Happiny	Normal		100	220	220	220	220	5	5	15	65	30	4	False
Chatot	Normal	Flying	76	411	411	411	411	65	45	92	42	91	4	False
Spiritomb	Ghost	Dark	50	485	485	485	485	92	108	92	108	35	4	False
Gible	Dragon	Ground	58	300	300	300	300	70	45	40	45	42	4	False
Gabite	Dragon	Ground	68	410	410	410	410	90	65	50	55	82	4	False
Garchomp	Dragon	Ground	108	600	600	600	600	130	95	80	85	102	4	False
GarchompMega Garchomp	Dragon	Ground	108	700	700	700	700	170	115	120	95	92	4	False
Munchlax	Normal		135	390	390	390	390	85	40	40	85	5	4	False
Riolu	Fighting		40	285	285	285	285	70	40	35	40	60	4	False
Lucario	Fighting	Steel	70	525	525	525	525	110	70	115	70	90	4	False
LucarioMega Lucario	Fighting	Steel	70	625	625	625	625	145	88	140	70	112	4	False
Hippopotas	Ground		68	330	330	330	330	72	78	38	42	32	4	False
Hippowdon	Ground		108	525	525	525	525	112	118	68	72	47	4	False
Skorupi	Poison	Bug	40	330	330	330	330	50	90	30	55	65	4	False
Drapion	Poison	Dark	70	500	500	500	500	90	110	60	75	95	4	False
Croagunk	Poison	Fighting	48	300	300	300	300	61	40	61	40	50	4	False
Toxicroak	Poison	Fighting	83	490	490	490	490	106	65	86	65	85	4	False
Carnivine	Grass		74	454	454	454	454	100	72	90	72	46	4	False
Finneon	Water		49	330	330	330	330	49	56	49	61	66	4	False
Lumineon	Water		69	460	460	460	460	69	76	69	86	91	4	False
Mantyke	Water	Flying	45	345	345	345	345	20	50	60	120	50	4	False
Snover	Grass	Ice	60	334	334	334	334	62	50	62	60	40	4	False
Abomasnow	Grass	Ice	90	494	494	494	494	92	75	92	85	60	4	False
AbomasnowMega Abomasnow	Grass	Ice	90	594	594	594	594	132	105	132	105	30	4	False
Weavile	Dark	Ice	70	510	510	510	510	120	65	45	85	125	4	False
Magnezone	Electric	Steel	70	535	535	535	535	70	115	130	90	60	4	False
Lickilicky	Normal		110	515	515	515	515	85	95	80	95	50	4	False
Rhyperior	Ground	Rock	115	535	535	535	535	140	130	55	55	40	4	False
Tangrowth	Grass		100	535	535	535	535	100	125	110	50	50	4	False
Electivire	Electric		75	540	540	540	540	123	67	95	85	95	4	False
Magmortar	Fire		75	540	540	540	540	95	67	125	95	83	4	False
Togekiss	Fairy	Flying	85	545	545	545	545	50	95	120	115	80	4	False
Yanmega	Bug	Flying	86	515	515	515	515	76	86	116	56	95	4	False
Leafeon	Grass		65	525	525	525	525	110	130	60	65	95	4	False
Glaceon	Ice		65	525	525	525	525	60	110	130	95	65	4	False
Gliscor	Ground	Flying	75	510	510	510	510	95	125	45	75	95	4	False
Mamoswine	Ice	Ground	110	530	530	530	530	130	80	70	60	80	4	False
Porygon-Z	Normal		85	535	535	535	535	80	70	135	75	90	4	False
Gallade	Psychic	Fighting	68	518	518	518	518	125	65	65	115	80	4	False
GalladeMega Gallade	Psychic	Fighting	68	618	618	618	618	165	95	65	115	110	4	False
Probopass	Rock	Steel	60	525	525	525	525	55	145	75	150	40	4	False
Dusknoir	Ghost		45	525	525	525	525	100	135	65	135	45	4	False
Froslass	Ice	Ghost	70	480	480	480	480	80	70	80	70	110	4	False
Rotom	Electric	Ghost	50	440	440	440	440	50	77	95	77	91	4	False
RotomHeat Rotom	Electric	Fire	50	520	520	520	520	65	107	105	107	86	4	False
RotomWash Rotom	Electric	Water	50	520	520	520	520	65	107	105	107	86	4	False
RotomFrost Rotom	Electric	Ice	50	520	520	520	520	65	107	105	107	86	4	False
RotomFan Rotom	Electric	Flying	50	520	520	520	520	65	107	105	107	86	4	False
RotomMow Rotom	Electric	Grass	50	520	520	520	520	65	107	105	107	86	4	False
Uxie	Psychic		75	580	580	580	580	75	130	75	130	95	4	True
Mesprit	Psychic		80	580	580	580	580	105	105	105	105	80	4	True
Azelf	Psychic		75	580	580	580	580	125	70	125	70	115	4	True
Dialga	Steel	Dragon	100	680	680	680	680	120	120	150	100	90	4	True
Palkia	Water	Dragon	90	680	680	680	680	120	100	150	120	100	4	True
Heatran	Fire	Steel	91	600	600	600	600	90	106	130	106	77	4	True
Regigigas	Normal		110	670	670	670	670	160	110	80	110	100	4	True
GiratinaAltered Forme	Ghost	Dragon	150	680	680	680	680	100	120	100	120	90	4	True
GiratinaOrigin Forme	Ghost	Dragon	150	680	680	680	680	120	100	120	100	90	4	True
Cresselia	Psychic		120	600	600	600	600	70	120	75	130	85	4	False
Phione	Water		80	480	480	480	480	80	80	80	80	80	4	False
Manaphy	Water		100	600	600	600	600	100	100	100	100	100	4	False
Darkrai	Dark		70	600	600	600	600	90	90	135	90	125	4	True
ShayminLand Forme	Grass		100	600	600	600	600	100	100	100	100	100	4	True
ShayminSky Forme	Grass	Flying	100	600	600	600	600	103	75	120	75	127	4	True
Arceus	Normal		120	720	720	720	720	120	120	120	120	120	4	True
Victini	Psychic	Fire	100	600	600	600	600	100	100	100	100	100	5	True
Snivy	Grass		45	308	308	308	308	45	55	45	55	63	5	False
Servine	Grass		60	413	413	413	413	60	75	60	75	83	5	False
Serperior	Grass		75	528	528	528	528	75	95	75	95	113	5	False
Tepig	Fire		65	308	308	308	308	63	45	45	45	45	5	False
Pignite	Fire	Fighting	90	418	418	418	418	93	55	70	55	55	5	False
Emboar	Fire	Fighting	110	528	528	528	528	123	65	100	65	65	5	False
Oshawott	Water		55	308	308	308	308	55	45	63	45	45	5	False
Dewott	Water		75	413	413	413	413	75	60	83	60	60	5	False
Samurott	Water		95	528	528	528	528	100	85	108	70	70	5	False
Patrat	Normal		45	255	255	255	255	55	39	35	39	42	5	False
Watchog	Normal		60	420	420	420	420	85	69	60	69	77	5	False
Lillipup	Normal		45	275	275	275	275	60	45	25	45	55	5	False
Herdier	Normal		65	370	370	370	370	80	65	35	65	60	5	False
Stoutland	Normal		85	500	500	500	500	110	90	45	90	80	5	False
Purrloin	Dark		41	281	281	281	281	50	37	50	37	66	5	False
Liepard	Dark		64	446	446	446	446	88	50	88	50	106	5	False
Pansage	Grass		50	316	316	316	316	53	48	53	48	64	5	False
Simisage	Grass		75	498	498	498	498	98	63	98	63	101	5	False
Pansear	Fire		50	316	316	316	316	53	48	53	48	64	5	False
Simisear	Fire		75	498	498	498	498	98	63	98	63	101	5	False
Panpour	Water		50	316	316	316	316	53	48	53	48	64	5	False
Simipour	Water		75	498	498	498	498	98	63	98	63	101	5	False
Munna	Psychic		76	292	292	292	292	25	45	67	55	24	5	False
Musharna	Psychic		116	487	487	487	487	55	85	107	95	29	5	False
Pidove	Normal	Flying	50	264	264	264	264	55	50	36	30	43	5	False
Tranquill	Normal	Flying	62	358	358	358	358	77	62	50	42	65	5	False
Unfezant	Normal	Flying	80	488	488	488	488	115	80	65	55	93	5	False
Blitzle	Electric		45	295	295	295	295	60	32	50	32	76	5	False
Zebstrika	Electric		75	497	497	497	497	100	63	80	63	116	5	False
Roggenrola	Rock		55	280	280	280	280	75	85	25	25	15	5	False
Boldore	Rock		70	390	390	390	390	105	105	50	40	20	5	False
Gigalith	Rock		85	515	515	515	515	135	130	60	80	25	5	False
Woobat	Psychic	Flying	55	313	313	313	313	45	43	55	43	72	5	False
Swoobat	Psychic	Flying	67	425	425	425	425	57	55	77	55	114	5	False
Drilbur	Ground		60	328	328	328	328	85	40	30	45	68	5	False
Excadrill	Ground	Steel	110	508	508	508	508	135	60	50	65	88	5	False
Audino	Normal		103	445	445	445	445	60	86	60	86	50	5	False
AudinoMega Audino	Normal	Fairy	103	545	545	545	545	60	126	80	126	50	5	False
Timburr	Fighting		75	305	305	305	305	80	55	25	35	35	5	False
Gurdurr	Fighting		85	405	405	405	405	105	85	40	50	40	5	False
Conkeldurr	Fighting		105	505	505	505	505	140	95	55	65	45	5	False
Tympole	Water		50	294	294	294	294	50	40	50	40	64	5	False
Palpitoad	Water	Ground	75	384	384	384	384	65	55	65	55	69	5	False
Seismitoad	Water	Ground	105	509	509	509	509	95	75	85	75	74	5	False
Throh	Fighting		120	465	465	465	465	100	85	30	85	45	5	False
Sawk	Fighting		75	465	465	465	465	125	75	30	75	85	5	False
Sewaddle	Bug	Grass	45	310	310	310	310	53	70	40	60	42	5	False
Swadloon	Bug	Grass	55	380	380	380	380	63	90	50	80	42	5	False
Leavanny	Bug	Grass	75	500	500	500	500	103	80	70	80	92	5	False
Venipede	Bug	Poison	30	260	260	260	260	45	59	30	39	57	5	False
Whirlipede	Bug	Poison	40	360	360	360	360	55	99	40	79	47	5	False
Scolipede	Bug	Poison	60	485	485	485	485	100	89	55	69	112	5	False
Cottonee	Grass	Fairy	40	280	280	280	280	27	60	37	50	66	5	False
Whimsicott	Grass	Fairy	60	480	480	480	480	67	85	77	75	116	5	False
Petilil	Grass		45	280	280	280	280	35	50	70	50	30	5	False
Lilligant	Grass		70	480	480	480	480	60	75	110	75	90	5	False
Basculin	Water		70	460	460	460	460	92	65	80	55	98	5	False
Sandile	Ground	Dark	50	292	292	292	292	72	35	35	35	65	5	False
Krokorok	Ground	Dark	60	351	351	351	351	82	45	45	45	74	5	False
Krookodile	Ground	Dark	95	519	519	519	519	117	80	65	70	92	5	False
Darumaka	Fire		70	315	315	315	315	90	45	15	45	50	5	False
DarmanitanStandard Mode	Fire		105	480	480	480	480	140	55	30	55	95	5	False
DarmanitanZen Mode	Fire	Psychic	105	540	540	540	540	30	105	140	105	55	5	False
Maractus	Grass		75	461	461	461	461	86	67	106	67	60	5	False
Dwebble	Bug	Rock	50	325	325	325	325	65	85	35	35	55	5	False
Crustle	Bug	Rock	70	475	475	475	475	95	125	65	75	45	5	False
Scraggy	Dark	Fighting	50	348	348	348	348	75	70	35	70	48	5	False
Scrafty	Dark	Fighting	65	488	488	488	488	90	115	45	115	58	5	False
Sigilyph	Psychic	Flying	72	490	490	490	490	58	80	103	80	97	5	False
Yamask	Ghost		38	303	303	303	303	30	85	55	65	30	5	False
Cofagrigus	Ghost		58	483	483	483	483	50	145	95	105	30	5	False
Tirtouga	Water	Rock	54	355	355	355	355	78	103	53	45	22	5	False
Carracosta	Water	Rock	74	495	495	495	495	108	133	83	65	32	5	False
Archen	Rock	Flying	55	401	401	401	401	112	45	74	45	70	5	False
Archeops	Rock	Flying	75	567	567	567	567	140	65	112	65	110	5	False
Trubbish	Poison		50	329	329	329	329	50	62	40	62	65	5	False
Garbodor	Poison		80	474	474	474	474	95	82	60	82	75	5	False
Zorua	Dark		40	330	330	330	330	65	40	80	40	65	5	False
Zoroark	Dark		60	510	510	510	510	105	60	120	60	105	5	False
Minccino	Normal		55	300	300	300	300	50	40	40	40	75	5	False
Cinccino	Normal		75	470	470	470	470	95	60	65	60	115	5	False
Gothita	Psychic		45	290	290	290	290	30	50	55	65	45	5	False
Gothorita	Psychic		60	390	390	390	390	45	70	75	85	55	5	False
Gothitelle	Psychic		70	490	490	490	490	55	95	95	110	65	5	False
Solosis	Psychic		45	290	290	290	290	30	40	105	50	20	5	False
Duosion	Psychic		65	370	370	370	370	40	50	125	60	30	5	False
Reuniclus	Psychic		110	490	490	490	490	65	75	125	85	30	5	False
Ducklett	Water	Flying	62	305	305	305	305	44	50	44	50	55	5	False
Swanna	Water	Flying	75	473	473	473	473	87	63	87	63	98	5	False
Vanillite	Ice		36	305	305	305	305	50	50	65	60	44	5	False
Vanillish	Ice		51	395	395	395	395	65	65	80	75	59	5	False
Vanilluxe	Ice		71	535	535	535	535	95	85	110	95	79	5	False
Deerling	Normal	Grass	60	335	335	335	335	60	50	40	50	75	5	False
Sawsbuck	Normal	Grass	80	475	475	475	475	100	70	60	70	95	5	False
Emolga	Electric	Flying	55	428	428	428	428	75	60	75	60	103	5	False
Karrablast	Bug		50	315	315	315	315	75	45	40	45	60	5	False
Escavalier	Bug	Steel	70	495	495	495	495	135	105	60	105	20	5	False
Foongus	Grass	Poison	69	294	294	294	294	55	45	55	55	15	5	False
Amoonguss	Grass	Poison	114	464	464	464	464	85	70	85	80	30	5	False
Frillish	Water	Ghost	55	335	335	335	335	40	50	65	85	40	5	False
Jellicent	Water	Ghost	100	480	480	480	480	60	70	85	105	60	5	False
Alomomola	Water		165	470	470	470	470	75	80	40	45	65	5	False
Joltik	Bug	Electric	50	319	319	319	319	47	50	57	50	65	5	False
Galvantula	Bug	Electric	70	472	472	472	472	77	60	97	60	108	5	False
Ferroseed	Grass	Steel	44	305	305	305	305	50	91	24	86	10	5	False
Ferrothorn	Grass	Steel	74	489	489	489	489	94	131	54	116	20	5	False
Klink	Steel		40	300	300	300	300	55	70	45	60	30	5	False
Klang	Steel		60	440	440	440	440	80	95	70	85	50	5	False
Klinklang	Steel		60	520	520	520	520	100	115	70	85	90	5	False
Tynamo	Electric		35	275	275	275	275	55	40	45	40	60	5	False
Eelektrik	Electric		65	405	405	405	405	85	70	75	70	40	5	False
Eelektross	Electric		85	515	515	515	515	115	80	105	80	50	5	False
Elgyem	Psychic		55	335	335	335	335	55	55	85	55	30	5	False
Beheeyem	Psychic		75	485	485	485	485	75	75	125	95	40	5	False
Litwick	Ghost	Fire	50	275	275	275	275	30	55	65	55	20	5	False
Lampent	Ghost	Fire	60	370	370	370	370	40	60	95	60	55	5	False
Chandelure	Ghost	Fire	60	520	520	520	520	55	90	145	90	80	5	False
Axew	Dragon		46	320	320	320	320	87	60	30	40	57	5	False
Fraxure	Dragon		66	410	410	410	410	117	70	40	50	67	5	False
Haxorus	Dragon		76	540	540	540	540	147	90	60	70	97	5	False
Cubchoo	Ice		55	305	305	305	305	70	40	60	40	40	5	False
Beartic	Ice		95	485	485	485	485	110	80	70	80	50	5	False
Cryogonal	Ice		70	485	485	485	485	50	30	95	135	105	5	False
Shelmet	Bug		50	305	305	305	305	40	85	40	65	25	5	False
Accelgor	Bug		80	495	495	495	495	70	40	100	60	145	5	False
Stunfisk	Ground	Electric	109	471	471	471	471	66	84	81	99	32	5	False
Mienfoo	Fighting		45	350	350	350	350	85	50	55	50	65	5	False
Mienshao	Fighting		65	510	510	510	510	125	60	95	60	105	5	False
Druddigon	Dragon		77	485	485	485	485	120	90	60	90	48	5	False
Golett	Ground	Ghost	59	303	303	303	303	74	50	35	50	35	5	False
Golurk	Ground	Ghost	89	483	483	483	483	124	80	55	80	55	5	False
Pawniard	Dark	Steel	45	340	340	340	340	85	70	40	40	60	5	False
Bisharp	Dark	Steel	65	490	490	490	490	125	100	60	70	70	5	False
Bouffalant	Normal		95	490	490	490	490	110	95	40	95	55	5	False
Rufflet	Normal	Flying	70	350	350	350	350	83	50	37	50	60	5	False
Braviary	Normal	Flying	100	510	510	510	510	123	75	57	75	80	5	False
Vullaby	Dark	Flying	70	370	370	370	370	55	75	45	65	60	5	False
Mandibuzz	Dark	Flying	110	510	510	510	510	65	105	55	95	80	5	False
Heatmor	Fire		85	484	484	484	484	97	66	105	66	65	5	False
Durant	Bug	Steel	58	484	484	484	484	109	112	48	48	109	5	False
Deino	Dark	Dragon	52	300	300	300	300	65	50	45	50	38	5	False
Zweilous	Dark	Dragon	72	420	420	420	420	85	70	65	70	58	5	False
Hydreigon	Dark	Dragon	92	600	600	600	600	105	90	125	90	98	5	False
Larvesta	Bug	Fire	55	360	360	360	360	85	55	50	55	60	5	False
Volcarona	Bug	Fire	85	550	550	550	550	60	65	135	105	100	5	False
Cobalion	Steel	Fighting	91	580	580	580	580	90	129	90	72	108	5	True
Terrakion	Rock	Fighting	91	580	580	580	580	129	90	72	90	108	5	True
Virizion	Grass	Fighting	91	580	580	580	580	90	72	90	129	108	5	True
TornadusIncarnate Forme	Flying		79	580	580	580	580	115	70	125	80	111	5	True
TornadusTherian Forme	Flying		79	580	580	580	580	100	80	110	90	121	5	True
ThundurusIncarnate Forme	Electric	Flying	79	580	580	580	580	115	70	125	80	111	5	True
ThundurusTherian Forme	Electric	Flying	79	580	580	580	580	105	70	145	80	101	5	True
Reshiram	Dragon	Fire	100	680	680	680	680	120	100	150	120	90	5	True
Zekrom	Dragon	Electric	100	680	680	680	680	150	120	120	100	90	5	True
LandorusIncarnate Forme	Ground	Flying	89	600	600	600	600	125	90	115	80	101	5	True
LandorusTherian Forme	Ground	Flying	89	600	600	600	600	145	90	105	80	91	5	True
Kyurem	Dragon	Ice	125	660	660	660	660	130	90	130	90	95	5	True
KyuremBlack Kyurem	Dragon	Ice	125	700	700	700	700	170	100	120	90	95	5	True
KyuremWhite Kyurem	Dragon	Ice	125	700	700	700	700	120	90	170	100	95	5	True
KeldeoOrdinary Forme	Water	Fighting	91	580	580	580	580	72	90	129	90	108	5	False
KeldeoResolute Forme	Water	Fighting	91	580	580	580	580	72	90	129	90	108	5	False
MeloettaAria Forme	Normal	Psychic	100	600	600	600	600	77	77	128	128	90	5	False
MeloettaPirouette Forme	Normal	Fighting	100	600	600	600	600	128	90	77	77	128	5	False
Genesect	Bug	Steel	71	600	600	600	600	120	95	120	95	99	5	False
Chespin	Grass		56	313	313	313	313	61	65	48	45	38	6	False
Quilladin	Grass		61	405	405	405	405	78	95	56	58	57	6	False
Chesnaught	Grass	Fighting	88	530	530	530	530	107	122	74	75	64	6	False
Fennekin	Fire		40	307	307	307	307	45	40	62	60	60	6	False
Braixen	Fire		59	409	409	409	409	59	58	90	70	73	6	False
Delphox	Fire	Psychic	75	534	534	534	534	69	72	114	100	104	6	False
Froakie	Water		41	314	314	314	314	56	40	62	44	71	6	False
Frogadier	Water		54	405	405	405	405	63	52	83	56	97	6	False
Greninja	Water	Dark	72	530	530	530	530	95	67	103	71	122	6	False
Bunnelby	Normal		38	237	237	237	237	36	38	32	36	57	6	False
Diggersby	Normal	Ground	85	423	423	423	423	56	77	50	77	78	6	False
Fletchling	Normal	Flying	45	278	278	278	278	50	43	40	38	62	6	False
Fletchinder	Fire	Flying	62	382	382	382	382	73	55	56	52	84	6	False
Talonflame	Fire	Flying	78	499	499	499	499	81	71	74	69	126	6	False
Scatterbug	Bug		38	200	200	200	200	35	40	27	25	35	6	False
Spewpa	Bug		45	213	213	213	213	22	60	27	30	29	6	False
Vivillon	Bug	Flying	80	411	411	411	411	52	50	90	50	89	6	False
Litleo	Fire	Normal	62	369	369	369	369	50	58	73	54	72	6	False
Pyroar	Fire	Normal	86	507	507	507	507	68	72	109	66	106	6	False
Flabébé	Fairy		44	303	303	303	303	38	39	61	79	42	6	False
Floette	Fairy		54	371	371	371	371	45	47	75	98	52	6	False
Florges	Fairy		78	552	552	552	552	65	68	112	154	75	6	False
Skiddo	Grass		66	350	350	350	350	65	48	62	57	52	6	False
Gogoat	Grass		123	531	531	531	531	100	62	97	81	68	6	False
Pancham	Fighting		67	348	348	348	348	82	62	46	48	43	6	False
Pangoro	Fighting	Dark	95	495	495	495	495	124	78	69	71	58	6	False
Furfrou	Normal		75	472	472	472	472	80	60	65	90	102	6	False
Espurr	Psychic		62	355	355	355	355	48	54	63	60	68	6	False
MeowsticMale	Psychic		74	466	466	466	466	48	76	83	81	104	6	False
MeowsticFemale	Psychic		74	466	466	466	466	48	76	83	81	104	6	False
Honedge	Steel	Ghost	45	325	325	325	325	80	100	35	37	28	6	False
Doublade	Steel	Ghost	59	448	448	448	448	110	150	45	49	35	6	False
AegislashBlade Forme	Steel	Ghost	60	520	520	520	520	150	50	150	50	60	6	False
AegislashShield Forme	Steel	Ghost	60	520	520	520	520	50	150	50	150	60	6	False
Spritzee	Fairy		78	341	341	341	341	52	60	63	65	23	6	False
Aromatisse	Fairy		101	462	462	462	462	72	72	99	89	29	6	False
Swirlix	Fairy		62	341	341	341	341	48	66	59	57	49	6	False
Slurpuff	Fairy		82	480	480	480	480	80	86	85	75	72	6	False
Inkay	Dark	Psychic	53	288	288	288	288	54	53	37	46	45	6	False
Malamar	Dark	Psychic	86	482	482	482	482	92	88	68	75	73	6	False
Binacle	Rock	Water	42	306	306	306	306	52	67	39	56	50	6	False
